艦船ID,艦船名,耐久初期,耐久最大,火力初期,火力最大,雷装初期,雷装最大,対空初期,対空最大,装甲初期,装甲最大,対潜初期下限,対潜初期上限,対潜最大,回避初期下限,回避初期上限,回避最大,索敵初期下限,索敵初期上限,索敵最大,運初期,運最大,射程,装備1,装備2,装備3,装備4,装備5,機数1,機数2,機数3,機数4,機数5,ドロップ説明,図鑑説明
1,睦月,13,24,6,29,18,59,7,29,5,18,16,16,39,37,37,79,4,4,17,12,49,1,1,37,-1,-1,-1,0,0,0,0,0,睦月です。<br>はりきって、まいりましょー！,帝国海軍の駆逐艦で初めて大型で強力な61cm魚雷を搭載しました、睦月です！<br>旧式ながら、第一線で頑張ったのです！
2,如月,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,10,49,1,1,-1,-1,-1,-1,0,0,0,0,0,如月と申します。<br>おそばに置いてくださいね。,睦月型駆逐艦２番艦の如月と申します。<br>ウェーク島では五月蠅いF4F戦闘機の攻撃を受けながら奮戦しました。<br>いやん、ほんと、髪の毛が潮風で痛んじゃう……。
3,,0,0,0,0,0,0,0,0,0,0,24,24,69,38,38,69,8,8,39,0,0,0,4,-1,-1,-1,-1,0,0,0,0,0,,
6,長月,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,15,69,1,1,-1,-1,-1,-1,0,0,0,0,0,長月だ。<br>駆逐艦と侮るなよ。役に立つはずだ。,睦月型８番艦だ。<br>東南アジア方面の攻略作戦後は、船団護衛を任されていた。<br>コロンバンガラ島への揚陸作戦では敵艦の襲撃を受けながら奮戦したよ。
7,三日月,13,24,6,29,18,49,7,29,5,18,16,16,39,37,37,69,4,4,17,10,49,1,1,-1,-1,-1,-1,0,0,0,0,0,あなたが司令官ですね。三日月です。<br>どうぞお手柔らかにお願いします。,軽空母のエスコートや船団護衛に従事した睦月型駆逐艦三日月です。<br>激戦のソロモン海域にも出撃しました。<br>旧式だけど速力を生かして強行輸送任務も奮闘しました。
9,吹雪,15,29,10,29,27,79,10,39,5,19,20,20,49,40,40,89,5,5,19,17,49,1,2,13,-1,-1,-1,0,0,0,0,0,はじめまして吹雪です。<br>よろしくお願い致します。,ワシントン条約制限下で設計された、世界中を驚愕させたクラスを超えた特型駆逐艦の１番艦、吹雪です。<br>私たちは、後の艦隊型駆逐艦のベースとなりました。<br>はいっ、頑張ります！
10,白雪,15,29,10,29,27,69,10,39,5,19,20,20,49,40,40,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,白雪です。<br>よろしくお願いします。,特型駆逐艦、２番艦、白雪です。<br>緒戦の数々の作戦に参加しました。<br>その後、増援の部隊を輸送する第八十一号作戦に護衛隊旗艦として参加致しました。
11,深雪,15,29,10,29,27,69,10,39,5,19,20,20,49,40,40,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,深雪だよ。<br>よろしくな！,特型駆逐艦４番艦の深雪さまだよ！<br>演習中に他の駆逐艦とぶつかって事故っちゃったこともあるんだ。<br>まー、でもやるときゃやるぜ。みてなって！
12,磯波,15,29,10,29,27,69,10,39,5,19,20,20,49,40,40,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,あ、あの…磯波と申します。<br>よろしくお願いいたします。,特型駆逐艦９番艦の磯波です。<br>数々の作戦に参加したんですけど、中破してからは、後方で海上護衛や哨戒活動に従事していました。<br>頑張ります。
13,綾波,15,29,10,29,27,79,12,39,5,19,20,20,49,41,41,89,5,5,19,12,49,1,2,13,-1,-1,-1,0,0,0,0,0,ごきげんよう。<br>特型駆逐艦、綾波と申します。,特型駆逐艦、綾波です。<br>改良吹雪型の１番艦なんです。<br>第三次ソロモン海海戦では、駆逐艦一隻としては、特別な大活躍をお見せしました。<br>頑張ります！
14,敷波,15,29,10,29,27,69,12,39,5,19,20,20,49,41,41,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,アタシの名は敷波。<br>以後よろしく。,特Ⅱ型駆逐艦２番艦の敷波。よろしく。<br>ミッドウェーやソロモンの海戦に参加した後、船団護衛を務めたよ。<br>海上護衛戦は結構大変だよ…大事だし…。
15,曙,15,29,10,29,27,69,12,39,5,19,20,20,49,41,41,79,5,5,19,10,49,1,2,-1,-1,-1,-1,0,0,0,0,0,特型駆逐艦「曙」よ。<br>って、こっち見んな！　この糞提督！,特型駆逐艦１８番艦、綾波型の８番艦、曙よ。<br>お相撲さんではないわ。覚えておいて。<br>初の空母戦、珊瑚海海戦にも参加したわ！<br>けど、何気に潜水艦は苦手かな…。
16,潮,15,29,10,29,27,69,12,39,5,19,20,20,49,41,41,79,5,5,19,20,79,1,2,-1,-1,-1,-1,0,0,0,0,0,特型駆逐艦…綾波型の「潮」です。<br>もう下がってよろしいでしょうか…。,綾波型１０番艦の潮です。<br>レイテ沖海戦などの激戦を潜り抜け、運命のあの日、横須賀で御役目を終えるまで戦い抜きました。<br>あ、あの…沈めた敵艦の皆さんも…ホントはお助けしたいのです。ホントです！
